股票代码,股票名称,昨日搜索量,今日搜索量,热度涨幅
002336,人人乐,1465,1913,0.4974347193506392
002121,科陆电子,1275,1739,0.4832986136053443
002867,周大生,3694,5007,0.47648067273159556
301269,华大九天,1362,1772,0.4684052946738104
600559,老白干酒,1061,1236,0.464021212398281
002695,煌上煌,1247,1672,0.4627717493335337
000792,盐湖股份,2548,3370,0.459014499451216
000998,隆平高科,2132,2749,0.45493376725737966
300624,万兴科技,1520,1949,0.4519562611254404
002806,华锋股份,1167,1461,0.44543127318321907
002384,东山精密,1083,1426,0.4428959437196669
003035,南网能源,3012,3356,0.44270879559776377
300087,荃银高科,1244,1548,0.4423704149731549
002197,证通电子,1827,2315,0.4182774723650766
002488,金固股份,850,1036,0.4139042357274403
600210,紫江企业,869,1051,0.3974397590361447
600598,北大荒,1521,1940,0.3825640702726527
002339,积成电子,2000,2416,0.38194136642816456
000807,云铝股份,1424,1793,0.38066948881220886
002276,万马股份,1072,1333,0.3792844257366206
300267,尔康制药,864,1033,0.377232142857143
600567,山鹰国际,837,1053,0.37316811628738233
002639,雪人股份,1531,1879,0.36430582629413033
002493,荣盛石化,1119,1393,0.362384275094632
300846,首都在线,1520,1797,0.3512461740271098
002345,潮宏基,1948,2443,0.34124946512623033
600346,恒力石化,1606,1981,0.33801634911261
600584,长电科技,3052,3739,0.3369640591966174
002436,兴森科技,1020,1245,0.33157172620559994
600612,老凤祥,2542,3189,0.3258030908143774
002543,万和电气,839,2376,0.3216386084672502
002792,通宇通讯,1407,1582,0.31870133132378786
600101,明星电力,973,1146,0.3186003683241254
002075,沙钢股份,1054,1261,0.3108269041578211
300612,宣亚国际,1157,1336,0.3031771989253593
000723,美锦能源,2389,2824,0.2940902203053968
002927,泰永长征,1030,1261,0.29332691128820376
600313,农发种业,3071,3483,0.29115188732119757
000821,京山轻机,2508,2974,0.29076122036232177
002094,青岛金王,935,1112,0.283528501988511
000301,东方盛虹,1456,1737,0.27806592506653915
600765,中航重机,1238,1417,0.2713964552726511
600369,西南证券,1203,1420,0.26775305280177
002405,四维图新,2423,2809,0.26640329374806626
600631,百联股份,873,1011,0.26545502785884856
600827,百联股份,873,1011,0.26545502785884856
600606,绿地控股,1207,1439,0.2649549088331431
300045,华力创通,869,1027,0.2607112375533427
600755,厦门国贸,985,1146,0.247495361781076
300130,新国都,883,1004,0.2443933695500764
300473,德尔股份,1410,1541,0.2383013423660767
002349,精华制药,1394,1617,0.23783604869258212
000895,双汇发展,1281,1470,0.23604651162790713
002150,通润装备,1316,1511,0.22902154543981856
300352,北信源,1243,1429,0.22813398748096758
000630,铜陵有色,2617,3078,0.22525695029486115
300177,中海达,1022,1173,0.22458713714227097
300199,翰宇药业,1637,1954,0.21849079025549623
600079,人福医药,1039,1198,0.21093321134492227
000887,中鼎股份,974,1115,0.20979989738327331
600583,海油工程,940,1061,0.20689858490566038
600732,爱旭股份,1600,1812,0.2058803830955731
000599,青岛双星,1089,1186,0.20307536817788074
300866,安克创新,990,1117,0.2010371179039303
002291,遥望科技,1034,1227,0.2002647774438242
600352,浙江龙盛,1039,1180,0.2000880798590723
300677,英科医疗,1228,1414,0.19640256335566564
002078,太阳纸业,1104,1230,0.19630385731170086
002549,凯美特气,1203,1341,0.1937264013941331
002401,中远海科,1440,1745,0.19257565861092962
600073,上海梅林,907,1014,0.17812858783008023
600309,万华化学,2281,2585,0.1771632972951247
